"ticker","sector","industry","fte","country","state","zip"
"DFEN","","",NA,NA,NA,NA
"DFEV","","",NA,NA,NA,NA
"DFIP","","",NA,NA,NA,NA
"DFIV","","",NA,NA,NA,NA
"DFJ","","",NA,NA,NA,NA
"DFNM","","",NA,NA,NA,NA
"DFSD","","",NA,NA,NA,NA
"DFSV","","",NA,NA,NA,NA
"DFUS","","",NA,NA,NA,NA
"DFUV","","",NA,NA,NA,NA
"DGIN","","",NA,NA,NA,NA
"DGL","","",NA,NA,NA,NA
"DGP","","",NA,NA,NA,NA
"DGRO","","",NA,NA,NA,NA
"DGS","","",NA,NA,NA,NA
"DGT","","",NA,NA,NA,NA
"DGZ","","",NA,NA,NA,NA
"DHS","","",NA,NA,NA,NA
"DIA","","",NA,NA,NA,NA
"DIAL","","",NA,NA,NA,NA
"DIG","","",NA,NA,NA,NA
"DIM","","",NA,NA,NA,NA
"DIV","","",NA,NA,NA,NA
"DIVO","","",NA,NA,NA,NA
"DIVS","","",NA,NA,NA,NA
"DIVZ","","",NA,NA,NA,NA
"DJCB","","",NA,NA,NA,NA
"DJD","","",NA,NA,NA,NA
"DJIA","","",NA,NA,NA,NA
"DJP","","",NA,NA,NA,NA
"DLN","","",NA,NA,NA,NA
"DLS","","",NA,NA,NA,NA
"DMCY","","",NA,NA,NA,NA
"DMDV","","",NA,NA,NA,NA
"DNL","","",NA,NA,NA,NA
"DOG","","",NA,NA,NA,NA
"DOL","","",NA,NA,NA,NA
"DON","","",NA,NA,NA,NA
"DOZR","","",NA,NA,NA,NA
"DPST","","",NA,NA,NA,NA
"DRIP","","",NA,NA,NA,NA
"DRN","","",NA,NA,NA,NA
"DRV","","",NA,NA,NA,NA
"DSCF","","",NA,NA,NA,NA
"DSI","","",NA,NA,NA,NA
"DSTL","","",NA,NA,NA,NA
"DSTX","","",NA,NA,NA,NA
"DTD","","",NA,NA,NA,NA
"DTEC","","",NA,NA,NA,NA
"DTH","","",NA,NA,NA,NA
"DTOX","","",NA,NA,NA,NA
"DUG","","",NA,NA,NA,NA
"DUHP","","",NA,NA,NA,NA
"DUSL","","",NA,NA,NA,NA
"DUST","","",NA,NA,NA,NA
"DVYA","","",NA,NA,NA,NA
"DVYE","","",NA,NA,NA,NA
"DWM","","",NA,NA,NA,NA
"DWMF","","",NA,NA,NA,NA
"DWX","","",NA,NA,NA,NA
"DXD","","",NA,NA,NA,NA
"DXJ","","",NA,NA,NA,NA
"DYLD","","",NA,NA,NA,NA
"DYNF","","",NA,NA,NA,NA
"DZZ","","",NA,NA,NA,NA
"EAFD","","",NA,"","",NA
"EAGG","","",NA,NA,NA,NA
"EAPR","","",NA,NA,NA,NA
"EASG","","",NA,NA,NA,NA
"EATV","","",NA,NA,NA,NA
"EATZ","","",NA,NA,NA,NA
"EBLU","","",NA,NA,NA,NA
"EBND","","",NA,NA,NA,NA
"ECLN","","",NA,NA,NA,NA
"ECNS","","",NA,NA,NA,NA
"ECON","","",NA,NA,NA,NA
"ECOZ","","",NA,NA,NA,NA
"EDC","","",NA,NA,NA,NA
"EDIV","","",NA,NA,NA,NA
"EDOG","","",NA,NA,NA,NA
"EDOW","","",NA,NA,NA,NA
"EDV","","",NA,NA,NA,NA
"EDZ","","",NA,NA,NA,NA
"EEH","","",NA,NA,NA,NA
"EELV","","",NA,NA,NA,NA
"EEM","","",NA,NA,NA,NA
"EEMD","","",NA,NA,NA,NA
"EEMO","","",NA,NA,NA,NA
"EEMS","","",NA,NA,NA,NA
"EEMX","","",NA,NA,NA,NA
"EERN","","",NA,NA,NA,NA
"EES","","",NA,NA,NA,NA
"EET","","",NA,NA,NA,NA
"EEV","","",NA,NA,NA,NA
"EFA","","",NA,NA,NA,NA
"EFAX","","",NA,NA,NA,NA
"EFIV","","",NA,NA,NA,NA
"EFIX","","",NA,NA,NA,NA
"EFO","","",NA,NA,NA,NA
"EFU","","",NA,NA,NA,NA
"EFZ","","",NA,NA,NA,NA
"EGPT","","",NA,NA,NA,NA
"EIDO","","",NA,NA,NA,NA
"EINC","","",NA,NA,NA,NA
"EIRL","","",NA,NA,NA,NA
"EIS","","",NA,NA,NA,NA
"EJAN","","",NA,NA,NA,NA
"EJUL","","",NA,NA,NA,NA
"EKAR","","",NA,NA,NA,NA
"ELD","","",NA,NA,NA,NA
"ELQD","","",NA,NA,NA,NA
"EMBD","","",NA,NA,NA,NA
"EMBH","","",NA,NA,NA,NA
"EMCR","","",NA,NA,NA,NA
"EMFM","","",NA,NA,NA,NA
"EMFQ","","",NA,NA,NA,NA
"EMGD","","",NA,NA,NA,NA
"EMHC","","",NA,NA,NA,NA
"EMLC","","",NA,NA,NA,NA
"EMLP","","",NA,NA,NA,NA
"EMMF","","",NA,NA,NA,NA
"EMNT","","",NA,NA,NA,NA
"EMQQ","","",NA,NA,NA,NA
"EMSG","","",NA,NA,NA,NA
"EMTY","","",NA,NA,NA,NA
"ENFR","","",NA,NA,NA,NA
"ENTR","","",NA,NA,NA,NA
"EOCT","","",NA,NA,NA,NA
"EPHE","","",NA,NA,NA,NA
"EPI","","",NA,NA,NA,NA
"EPOL","","",NA,NA,NA,NA
"EPP","","",NA,NA,NA,NA
"EPRE","","",NA,NA,NA,NA
"EPS","","",NA,NA,NA,NA
"EPU","","",NA,NA,NA,NA
"EPV","","",NA,NA,NA,NA
"EQAL","","",NA,NA,NA,NA
"EQL","","",NA,NA,NA,NA
"EQOP","","",NA,NA,NA,NA
"EQUL","","",NA,NA,NA,NA
"EQWL","","",NA,NA,NA,NA
"ERM","","",NA,NA,NA,NA
"ERSX","","",NA,NA,NA,NA
"ERTH","","",NA,NA,NA,NA
"ERUS","","",NA,NA,NA,NA
"ERX","","",NA,NA,NA,NA
"ERY","","",NA,NA,NA,NA
"ESBA","Real Estate","REIT—Office",693,"United States","NY","10120"
"ESGA","","",NA,NA,NA,NA
"ESGB","","",NA,NA,NA,NA
"ESGN","","",NA,NA,NA,NA
"ESGS","","",NA,NA,NA,NA
"ESGY","","",NA,NA,NA,NA
"ESIX","","",NA,NA,NA,NA
"ESUS","","",NA,"","",NA
"ETHO","","",NA,NA,NA,NA
"EUDG","","",NA,NA,NA,NA
"EUM","","",NA,NA,NA,NA
"EUO","","",NA,NA,NA,NA
"EURL","","",NA,NA,NA,NA
"EUSA","","",NA,NA,NA,NA
"EUSB","","",NA,NA,NA,NA
"EUSC","","",NA,NA,NA,NA
"EVEN","","",NA,NA,NA,NA
"EVNT","","",NA,NA,NA,NA
"EVX","","",NA,NA,NA,NA
"EWA","","",NA,NA,NA,NA
"EWC","","",NA,NA,NA,NA
"EWCO","","",NA,NA,NA,NA
"EWD","","",NA,NA,NA,NA
"EWG","","",NA,NA,NA,NA
"EWH","","",NA,NA,NA,NA
"EWI","","",NA,NA,NA,NA
"EWJ","","",NA,NA,NA,NA
"EWK","","",NA,NA,NA,NA
"EWL","","",NA,NA,NA,NA
"EWM","","",NA,NA,NA,NA
"EWMC","","",NA,NA,NA,NA
"EWN","","",NA,NA,NA,NA
"EWO","","",NA,NA,NA,NA
"EWP","","",NA,NA,NA,NA
"EWQ","","",NA,NA,NA,NA
"EWRE","","",NA,NA,NA,NA
"EWS","","",NA,NA,NA,NA
"EWSC","","",NA,NA,NA,NA
"EWT","","",NA,NA,NA,NA
"EWU","","",NA,NA,NA,NA
"EWV","","",NA,NA,NA,NA
"EWW","","",NA,NA,NA,NA
"EWX","","",NA,NA,NA,NA
"EWY","","",NA,NA,NA,NA
"EWZ","","",NA,NA,NA,NA
"EXI","","",NA,NA,NA,NA
"EZA","","",NA,NA,NA,NA
"EZJ","","",NA,NA,NA,NA
"EZM","","",NA,NA,NA,NA
"FAN","","",NA,NA,NA,NA
"FAS","","",NA,NA,NA,NA
"FAZ","","",NA,NA,NA,NA
"FBGX","","",NA,NA,NA,NA
"FBND","","",NA,NA,NA,NA
"FBT","","",NA,NA,NA,NA
"FCG","","",NA,NA,NA,NA
"FCOM","","",NA,NA,NA,NA
"FCOR","","",NA,NA,NA,NA
"FCSH","","",NA,NA,NA,NA
"FDD","","",NA,NA,NA,NA
"FDHY","","",NA,NA,NA,NA
"FDIS","","",NA,NA,NA,NA
"FDL","","",NA,NA,NA,NA
"FDLO","","",NA,NA,NA,NA
"FDM","","",NA,NA,NA,NA
"FDMO","","",NA,NA,NA,NA
"FDN","","",NA,NA,NA,NA
"FDRR","","",NA,NA,NA,NA
"FDVV","","",NA,NA,NA,NA
"FDWM","","",NA,NA,NA,NA
"FEDL","","",NA,"","",NA
"FEDM","","",NA,NA,NA,NA
"FEEM","","",NA,NA,NA,NA
"FEHY","","",NA,NA,NA,NA
"FEIG","","",NA,NA,NA,NA
"FENY","","",NA,NA,NA,NA
"FEUS","","",NA,NA,NA,NA
"FEVR","","",NA,NA,NA,NA
"FEZ","","",NA,NA,NA,NA
"FFIU","","",NA,NA,NA,NA
"FFND","","",NA,NA,NA,NA
"FFR","","",NA,NA,NA,NA
"FFTY","","",NA,NA,NA,NA
"FGD","","",NA,NA,NA,NA
"FGLD","","",NA,"","",NA
"FHLC","","",NA,NA,NA,NA
"FHYS","","",NA,NA,NA,NA
"FIDI","","",NA,NA,NA,NA
"FIDU","","",NA,NA,NA,NA
"FIEE","","",NA,NA,NA,NA
"FIG","","",NA,NA,NA,NA
"FIGB","","",NA,NA,NA,NA
"FIHD","","",NA,NA,NA,NA
"FILL","","",NA,NA,NA,NA
"FISK","Real Estate","REIT—Office",693,"United States","NY","10120"
"FISR","","",NA,NA,NA,NA
"FITE","","",NA,NA,NA,NA
"FIVA","","",NA,NA,NA,NA
"FIVG","","",NA,NA,NA,NA
"FIW","","",NA,NA,NA,NA
"FLAU","","",NA,NA,NA,NA
"FLAX","","",NA,NA,NA,NA
"FLBR","","",NA,NA,NA,NA
"FLCA","","",NA,NA,NA,NA
"FLCB","","",NA,NA,NA,NA
"FLCH","","",NA,NA,NA,NA
"FLCO","","",NA,NA,NA,NA
"FLDZ","","",NA,NA,NA,NA
"FLEE","","",NA,NA,NA,NA
"FLEH","","",NA,NA,NA,NA
"FLFR","","",NA,NA,NA,NA
"FLGB","","",NA,NA,NA,NA
"FLGR","","",NA,NA,NA,NA
"FLGV","","",NA,NA,NA,NA
"FLHK","","",NA,NA,NA,NA
"FLIN","","",NA,NA,NA,NA
"FLIY","","",NA,NA,NA,NA
"FLJH","","",NA,NA,NA,NA
"FLJP","","",NA,NA,NA,NA
"FLKR","","",NA,NA,NA,NA
"FLLA","","",NA,NA,NA,NA
"FLLV","","",NA,NA,NA,NA
"FLM","","",NA,NA,NA,NA
"FLMB","","",NA,NA,NA,NA
"FLMI","","",NA,NA,NA,NA
"FLMX","","",NA,NA,NA,NA
"FLQD","","",NA,NA,NA,NA
"FLQE","","",NA,NA,NA,NA
"FLQG","","",NA,NA,NA,NA
"FLQH","","",NA,NA,NA,NA
"FLRG","","",NA,NA,NA,NA
"FLRN","","",NA,NA,NA,NA
"FLRT","","",NA,NA,NA,NA
"FLRU","","",NA,NA,NA,NA
"FLSA","","",NA,NA,NA,NA
"FLSP","","",NA,NA,NA,NA
"FLSW","","",NA,NA,NA,NA
"FLTB","","",NA,NA,NA,NA
"FLTR","","",NA,NA,NA,NA
"FLTW","","",NA,NA,NA,NA
"FLUD","","",NA,NA,NA,NA
"FLYD","","",NA,"","",NA
"FLYU","","",NA,"","",NA
"FLZA","","",NA,NA,NA,NA
"FM","","",NA,NA,NA,NA
"FMAT","","",NA,NA,NA,NA
"FMCX","","",NA,NA,NA,NA
"FMF","","",NA,NA,NA,NA
"FMNY","","",NA,NA,NA,NA
"FMQQ","","",NA,NA,NA,NA
"FNCL","","",NA,NA,NA,NA
"FNDA","","",NA,NA,NA,NA
"FNDB","","",NA,NA,NA,NA
"FNDC","","",NA,NA,NA,NA
"FNDE","","",NA,NA,NA,NA
"FNDF","","",NA,NA,NA,NA
"FNDX","","",NA,NA,NA,NA
"FNGD","","",NA,NA,NA,NA
"FNGG","","",NA,NA,NA,NA
"FNGO","","",NA,NA,NA,NA
"FNGS","","",NA,NA,NA,NA
"FNGU","","",NA,NA,NA,NA
"FNI","","",NA,NA,NA,NA
"FNTC","","",NA,NA,NA,NA
"FORH","","",NA,NA,NA,NA
"FOVL","","",NA,NA,NA,NA
"FPE","","",NA,NA,NA,NA
"FPEI","","",NA,NA,NA,NA
"FPX","","",NA,NA,NA,NA
"FQAL","","",NA,NA,NA,NA
"FREL","","",NA,NA,NA,NA
"FRI","","",NA,NA,NA,NA
"FRTY","","",NA,NA,NA,NA
"FSBD","","",NA,NA,NA,NA
"FSEC","","",NA,NA,NA,NA
"FSIG","","",NA,NA,NA,NA
"FSLD","","",NA,NA,NA,NA
"FSMB","","",NA,NA,NA,NA
"FSMD","","",NA,NA,NA,NA
"FSST","","",NA,NA,NA,NA
"FSTA","","",NA,NA,NA,NA
"FSYD","","",NA,NA,NA,NA
"FTEC","","",NA,NA,NA,NA
"FTLS","","",NA,NA,NA,NA
"FTSD","","",NA,NA,NA,NA
"FUE","","",NA,NA,NA,NA
"FUMB","","",NA,NA,NA,NA
"FUTY","","",NA,NA,NA,NA
"FVAL","","",NA,NA,NA,NA
"FVD","","",NA,NA,NA,NA
"FXA","","",NA,NA,NA,NA
"FXB","","",NA,NA,NA,NA
"FXC","","",NA,NA,NA,NA
"FXD","","",NA,NA,NA,NA
"FXE","","",NA,NA,NA,NA
"FXF","","",NA,NA,NA,NA
"FXG","","",NA,NA,NA,NA
"FXH","","",NA,NA,NA,NA
"FXI","","",NA,NA,NA,NA
"FXL","","",NA,NA,NA,NA
"FXN","","",NA,NA,NA,NA
"FXO","","",NA,NA,NA,NA
"FXP","","",NA,NA,NA,NA
"FXR","","",NA,NA,NA,NA
"FXU","","",NA,NA,NA,NA
"FXY","","",NA,NA,NA,NA
"FXZ","","",NA,NA,NA,NA
"GABF","","",NA,"","",NA
"GAL","","",NA,NA,NA,NA
"GAMR","","",NA,NA,NA,NA
"GAST","","",NA,"","",NA
"GAZ","","",NA,NA,NA,NA
"GBDV","","",NA,NA,NA,NA
"GBF","","",NA,NA,NA,NA
"GBGR","","",NA,NA,NA,NA
"GBIL","","",NA,NA,NA,NA
"GBLD","","",NA,NA,NA,NA
"GBLO","","",NA,NA,NA,NA
"GBUG","","",NA,NA,NA,NA
"GBUY","","",NA,NA,NA,NA
"GCC","","",NA,NA,NA,NA
"GCIG","","",NA,NA,NA,NA
"GCOR","","",NA,NA,NA,NA
"GDIV","","",NA,NA,NA,NA
"GDMA","","",NA,NA,NA,NA
"GDOC","","",NA,NA,NA,NA
"GDVD","","",NA,NA,NA,NA
"GDX","","",NA,NA,NA,NA
"GDXD","","",NA,NA,NA,NA
"GDXJ","","",NA,NA,NA,NA
"GDXU","","",NA,NA,NA,NA
"GEM","","",NA,NA,NA,NA
"GERM","","",NA,NA,NA,NA
"GFOF","","",NA,NA,NA,NA
"GGRW","","",NA,NA,NA,NA
"GHYB","","",NA,NA,NA,NA
"GIGB","","",NA,NA,NA,NA
"GII","","",NA,NA,NA,NA
"GINN","","",NA,NA,NA,NA
"GK","","",NA,NA,NA,NA
"GLCN","","",NA,NA,NA,NA
"GLD","","",NA,NA,NA,NA
